sub.id,sub.no,worker.id,trial.type,trial.no,left.book.no,right.book.no,left.book.id,right.book.id,response,rt
1,0,5ab3c75561533800011c6aca,similarity,0,206,333,tt0095016,tt0328107,4,14419
1,0,5ab3c75561533800011c6aca,similarity,1,8,24,tt0387564,tt0116367,1,4244
1,0,5ab3c75561533800011c6aca,similarity,2,302,90,tt1840309,tt0945513,5,3443
1,0,5ab3c75561533800011c6aca,similarity,3,14,31,tt0084787,tt0363547,6,3229
1,0,5ab3c75561533800011c6aca,similarity,4,308,305,tt0120591,tt0319262,7,1757
1,0,5ab3c75561533800011c6aca,similarity,5,172,173,tt0099685,tt0105236,6,1920
1,0,5ab3c75561533800011c6aca,similarity,6,220,214,tt0206634,tt0114746,4,7017
1,0,5ab3c75561533800011c6aca,similarity,7,244,114,tt1675434,tt1193138,5,6152
1,0,5ab3c75561533800011c6aca,similarity,8,39,0,tt1139797,tt0081505,6,2691
1,0,5ab3c75561533800011c6aca,similarity,9,303,122,tt1535108,tt0499549,6,2305
1,0,5ab3c75561533800011c6aca,similarity,10,216,329,tt0073195,tt0360717,6,2568
1,0,5ab3c75561533800011c6aca,similarity,11,219,213,tt0364569,tt0440963,6,2627
1,0,5ab3c75561533800011c6aca,similarity,12,302,292,tt1840309,tt0418279,5,2218
1,0,5ab3c75561533800011c6aca,similarity,13,283,252,tt0848228,tt0478970,6,2725
1,0,5ab3c75561533800011c6aca,similarity,14,225,186,tt2911666,tt0936501,7,2441
1,0,5ab3c75561533800011c6aca,similarity,15,238,313,tt1650062,tt0286106,1,1884
1,0,5ab3c75561533800011c6aca,similarity,16,88,383,tt0162222,tt0758758,1,2388
1,0,5ab3c75561533800011c6aca,similarity,17,20,27,tt0360486,tt0450385,2,2333
1,0,5ab3c75561533800011c6aca,similarity,18,225,246,tt2911666,tt2802144,3,3214
1,0,5ab3c75561533800011c6aca,similarity,19,29,14,tt0120804,tt0084787,1,2668
1,0,5ab3c75561533800011c6aca,similarity,20,284,209,tt0482571,tt0947798,5,2195
1,0,5ab3c75561533800011c6aca,similarity,21,201,4,tt1130884,tt0054215,6,3596
1,0,5ab3c75561533800011c6aca,similarity,22,188,193,tt0116282,tt0120735,2,3197
1,0,5ab3c75561533800011c6aca,similarity,23,156,16,tt0320691,tt0162661,3,3002
1,0,5ab3c75561533800011c6aca,similarity,24,65,45,tt1490017,tt0198781,6,1931
1,0,5ab3c75561533800011c6aca,similarity,25,318,296,tt0100802,tt0062622,2,2529
1,0,5ab3c75561533800011c6aca,similarity,26,219,164,tt0364569,tt0114369,4,2474
1,0,5ab3c75561533800011c6aca,similarity,27,235,306,tt0093773,tt0800080,2,5004
1,0,5ab3c75561533800011c6aca,similarity,28,75,55,tt0097757,tt0101414,6,2273
1,0,5ab3c75561533800011c6aca,similarity,29,64,258,tt0103639,tt0367594,5,2520
1,0,5ab3c75561533800011c6aca,similarity,30,315,221,tt0217869,tt0289879,4,3416
1,0,5ab3c75561533800011c6aca,similarity,31,193,196,tt0120735,tt0240772,5,2404
1,0,5ab3c75561533800011c6aca,similarity,32,214,118,tt0114746,tt0399201,2,2405
1,0,5ab3c75561533800011c6aca,similarity,33,159,191,tt0259711,tt1276104,4,2405
1,0,5ab3c75561533800011c6aca,similarity,34,69,74,tt0347149,tt0120762,1,3498
1,0,5ab3c75561533800011c6aca,similarity,35,127,145,tt1201607,tt0363771,6,2737
1,0,5ab3c75561533800011c6aca,similarity,36,391,392,tt1291584,tt0790636,1,2740
1,0,5ab3c75561533800011c6aca,similarity,37,351,341,tt3890160,tt3397884,1,4706
1,0,5ab3c75561533800011c6aca,similarity,38,195,66,tt1232829,tt0462538,5,3294
1,0,5ab3c75561533800011c6aca,similarity,39,32,21,tt0134847,tt0884328,1,2343
1,0,5ab3c75561533800011c6aca,similarity,40,33,26,tt0185937,tt5052448,1,2143
1,0,5ab3c75561533800011c6aca,similarity,41,50,68,tt0245429,tt0107688,1,2163
1,0,5ab3c75561533800011c6aca,similarity,42,32,8,tt0134847,tt0387564,2,2652
1,0,5ab3c75561533800011c6aca,similarity,43,296,289,tt0062622,tt3659388,4,2218
1,0,5ab3c75561533800011c6aca,similarity,44,8,39,tt0387564,tt1139797,6,2232
1,0,5ab3c75561533800011c6aca,similarity,45,28,12,tt1396484,tt0070047,7,1884
1,0,5ab3c75561533800011c6aca,similarity,46,32,29,tt0134847,tt0120804,2,2223
1,0,5ab3c75561533800011c6aca,similarity,47,57,140,tt0398286,tt0093779,6,2358
